Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1574	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1576	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1596	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1614	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1623	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1660	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1662	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1663	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	
