
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1985	2	0	0	0	0	0	0	500000	0	0	0	0	0	0	0	0	0	
1986	2	0	400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	60	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	34	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	77	94135	0	0	0	0	0	0	0	0	75000000	0	0	0	30000	0	
2000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	962000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	44	171	1461495					500000				75000000				30000		

