Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1976	3	0	0	0	0	0	0	0	0	0	4000	8000	0	0	0	0	0	
1983	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	19	123	214	42	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	4	0	0	0	0	0	0	0	0	0	39000	741000	0	0	0	0	0	
2002	46	0	0	0	0	0	0	0	0	0	703539065	12425467828	0	0	219346	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	
2005	10	0	0	0	0	0	0	0	0	0	24741442	466750000	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
