
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	4	0	0	0	0	0	0	0	0	0	8000	4000	0	0	0.7794	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	3	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	
1998	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	
2002	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
2007	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	
2011	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
TOTAL	24		2		1		6	5			8000	4000	8		0.78			

