
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	205	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	691	2				21												

